2024-09-07 15:40:21,524 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /zip-codes is created
2024-09-07 15:40:21,541 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Read client is created
2024-09-07 15:40:21,779 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - The client's token is recived
2024-09-07 15:40:21,807 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /zip-codes is received. Status Code: OK, Response Body: ["12345","23456","ABCDE"]
2024-09-07 15:40:21,809 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Post request to /users is created
2024-09-07 15:40:21,814 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Body of the request is: {"age":41,"name":"axFdc","sex":"MALE","zipCode":"12345"}
2024-09-07 15:40:21,814 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - The write client is created
2024-09-07 15:40:21,822 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - The client's token is recived
2024-09-07 15:40:21,942 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: Created, Response Body: 
2024-09-07 15:40:21,942 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /users is created
2024-09-07 15:40:21,964 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: OK, Response Body: [{"name":"axFdc","age":41,"sex":"MALE","zipCode":"12345"}]
2024-09-07 15:40:21,968 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /zip-codes is created
2024-09-07 15:40:21,974 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /zip-codes is received. Status Code: OK, Response Body: ["23456","ABCDE"]
