2024-09-07 17:33:53,290 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - GET request to http://localhost:8082/users is created
2024-09-07 17:33:53,291 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Sending request to http://localhost:8082/users with method GET
2024-09-07 17:33:53,291 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Sending read request to http://localhost:8082/users
2024-09-07 17:33:53,294 [12] INFO  ApiTestingSolution.Logging.Logger - Received read response with status code OK
2024-09-07 17:33:53,294 [12] INFO  ApiTestingSolution.Logging.Logger - Response from http://localhost:8082/users is received. Status Code: 200, Response Body: [{"name":"qGtRf","age":8,"sex":"MALE","zipCode":"23456"}]
2024-09-07 17:33:53,295 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - DELETE request to http://localhost:8082/users is created
2024-09-07 17:33:53,295 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Body of the request is: {"age":8,"name":"qGtRf","sex":"MALE","zipCode":"23456"}
2024-09-07 17:33:53,295 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Sending request to http://localhost:8082/users with method DELETE
2024-09-07 17:33:53,295 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Sending write request to http://localhost:8082/users
2024-09-07 17:33:53,298 [7] INFO  ApiTestingSolution.Logging.Logger - Received write response with status code NoContent
2024-09-07 17:33:53,298 [7] INFO  ApiTestingSolution.Logging.Logger - Response from http://localhost:8082/users is received. Status Code: 204, Response Body: 
2024-09-07 17:33:53,298 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - GET request to http://localhost:8082/zip-codes is created
2024-09-07 17:33:53,298 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Sending request to http://localhost:8082/zip-codes with method GET
2024-09-07 17:33:53,298 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Sending read request to http://localhost:8082/zip-codes
2024-09-07 17:33:53,300 [7] INFO  ApiTestingSolution.Logging.Logger - Received read response with status code OK
2024-09-07 17:33:53,300 [7] INFO  ApiTestingSolution.Logging.Logger - Response from http://localhost:8082/zip-codes is received. Status Code: 200, Response Body: ["ABCDE","12345","23456"]
2024-09-07 17:33:53,300 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - GET request to http://localhost:8082/users is created
2024-09-07 17:33:53,300 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Sending request to http://localhost:8082/users with method GET
2024-09-07 17:33:53,300 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Sending read request to http://localhost:8082/users
2024-09-07 17:33:53,302 [12] INFO  ApiTestingSolution.Logging.Logger - Received read response with status code OK
2024-09-07 17:33:53,302 [12] INFO  ApiTestingSolution.Logging.Logger - Response from http://localhost:8082/users is received. Status Code: 200, Response Body: []
