2024-09-07 17:33:53,064 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - GET request to http://localhost:8082/zip-codes is created
2024-09-07 17:33:53,065 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Sending request to http://localhost:8082/zip-codes with method GET
2024-09-07 17:33:53,065 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Sending read request to http://localhost:8082/zip-codes
2024-09-07 17:33:53,073 [7] INFO  ApiTestingSolution.Logging.Logger - Received read response with status code OK
2024-09-07 17:33:53,073 [7] INFO  ApiTestingSolution.Logging.Logger - Response from http://localhost:8082/zip-codes is received. Status Code: 200, Response Body: ["ABCDE","12345"]
2024-09-07 17:33:53,073 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - GET request to http://localhost:8082/users is created
2024-09-07 17:33:53,074 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Sending request to http://localhost:8082/users with method GET
2024-09-07 17:33:53,074 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Sending read request to http://localhost:8082/users
2024-09-07 17:33:53,080 [7] INFO  ApiTestingSolution.Logging.Logger - Received read response with status code OK
2024-09-07 17:33:53,080 [7] INFO  ApiTestingSolution.Logging.Logger - Response from http://localhost:8082/users is received. Status Code: 200, Response Body: [{"name":"ZkwZb","age":47,"sex":"FEMALE","zipCode":"23456"}]
2024-09-07 17:33:53,080 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Trying to update user: Age: '47', Name: 'ZkwZb', Sex: 'FEMALE', ZipCode: '23456' to Age: '57', Name: 'sxFgE', Sex: 'FEMALE', ZipCode: 'ABCDE'
2024-09-07 17:33:53,080 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - PATCH request to http://localhost:8082/users is created
2024-09-07 17:33:53,080 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Body of the request is: {"userNewValues":{"age":57,"name":"sxFgE","sex":"FEMALE","zipCode":"ABCDE"},"userToChange":{"age":47,"name":"ZkwZb","sex":"FEMALE","zipCode":"23456"}}
2024-09-07 17:33:53,080 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Sending request to http://localhost:8082/users with method PATCH
2024-09-07 17:33:53,080 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Sending write request to http://localhost:8082/users
2024-09-07 17:33:53,085 [7] INFO  ApiTestingSolution.Logging.Logger - Received write response with status code OK
2024-09-07 17:33:53,085 [7] INFO  ApiTestingSolution.Logging.Logger - Response from http://localhost:8082/users is received. Status Code: 200, Response Body: 
2024-09-07 17:33:53,085 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - GET request to http://localhost:8082/users is created
2024-09-07 17:33:53,085 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Sending request to http://localhost:8082/users with method GET
2024-09-07 17:33:53,085 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Sending read request to http://localhost:8082/users
2024-09-07 17:33:53,087 [7] INFO  ApiTestingSolution.Logging.Logger - Received read response with status code OK
2024-09-07 17:33:53,087 [7] INFO  ApiTestingSolution.Logging.Logger - Response from http://localhost:8082/users is received. Status Code: 200, Response Body: [{"name":"sxFgE","age":57,"sex":"FEMALE","zipCode":"ABCDE"}]
