2024-09-07 17:39:38,750 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /zip-codes is created
2024-09-07 17:39:38,766 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Read client is created
2024-09-07 17:39:38,974 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - The client's token is recived
2024-09-07 17:39:39,003 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /zip-codes is received. Status Code: OK, Response Body: ["12345","23456","ABCDE"]
2024-09-07 17:39:39,005 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Post request to /users is created
2024-09-07 17:39:39,011 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Body of the request is: {"age":41,"name":"halkN","sex":"MALE","zipCode":"12345"}
2024-09-07 17:39:39,011 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - The write client is created
2024-09-07 17:39:39,021 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - The client's token is recived
2024-09-07 17:39:39,181 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: Created, Response Body: 
2024-09-07 17:39:39,181 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /users is created
2024-09-07 17:39:39,199 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: OK, Response Body: [{"name":"halkN","age":41,"sex":"MALE","zipCode":"12345"}]
2024-09-07 17:39:39,203 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /zip-codes is created
2024-09-07 17:39:39,207 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /zip-codes is received. Status Code: OK, Response Body: ["23456","ABCDE"]
