2024-09-07 17:51:31,457 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /zip-codes is created
2024-09-07 17:51:31,473 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Read client is created
2024-09-07 17:51:31,694 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - The client's token is recived
2024-09-07 17:51:31,729 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /zip-codes is received. Status Code: OK, Response Body: ["12345","23456","ABCDE"]
2024-09-07 17:51:31,732 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Post request to /users is created
2024-09-07 17:51:31,737 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Body of the request is: {"age":16,"name":"mNTqD","sex":"MALE","zipCode":"12345"}
2024-09-07 17:51:31,738 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - The write client is created
2024-09-07 17:51:31,745 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - The client's token is recived
2024-09-07 17:51:31,890 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: Created, Response Body: 
2024-09-07 17:51:31,890 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /users is created
2024-09-07 17:51:31,911 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: OK, Response Body: [{"name":"mNTqD","age":16,"sex":"MALE","zipCode":"12345"}]
2024-09-07 17:51:31,916 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /zip-codes is created
2024-09-07 17:51:31,920 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /zip-codes is received. Status Code: OK, Response Body: ["23456","ABCDE"]
