2024-09-07 18:06:27,749 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /zip-codes is created
2024-09-07 18:06:27,766 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Read client is created
2024-09-07 18:06:28,018 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - The client's token is recived
2024-09-07 18:06:28,047 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /zip-codes is received. Status Code: OK, Response Body: ["12345","23456","ABCDE"]
2024-09-07 18:06:28,049 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Post request to /users is created
2024-09-07 18:06:28,054 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Body of the request is: {"age":51,"name":"oujXh","sex":"MALE","zipCode":"12345"}
2024-09-07 18:06:28,055 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - The write client is created
2024-09-07 18:06:28,065 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - The client's token is recived
2024-09-07 18:06:28,201 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: Created, Response Body: 
2024-09-07 18:06:28,202 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /users is created
2024-09-07 18:06:28,265 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: OK, Response Body: [{"name":"oujXh","age":51,"sex":"MALE","zipCode":"12345"}]
2024-09-07 18:06:28,273 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /zip-codes is created
2024-09-07 18:06:28,281 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /zip-codes is received. Status Code: OK, Response Body: ["23456","ABCDE"]
