2024-09-07 19:00:37,921 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /zip-codes is created
2024-09-07 19:00:37,936 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Read client is created
2024-09-07 19:00:38,147 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - The client's token is recived
2024-09-07 19:00:38,172 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /zip-codes is received. Status Code: OK, Response Body: ["12345","23456","ABCDE"]
2024-09-07 19:00:38,174 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Post request to /users is created
2024-09-07 19:00:38,178 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Body of the request is: {"age":27,"name":"Fvcgw","sex":"MALE","zipCode":"12345"}
2024-09-07 19:00:38,178 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - The write client is created
2024-09-07 19:00:38,184 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - The client's token is recived
2024-09-07 19:00:38,292 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: Created, Response Body: 
2024-09-07 19:00:38,292 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /users is created
2024-09-07 19:00:38,307 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: OK, Response Body: [{"name":"Fvcgw","age":27,"sex":"MALE","zipCode":"12345"}]
2024-09-07 19:00:38,311 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /zip-codes is created
2024-09-07 19:00:38,314 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /zip-codes is received. Status Code: OK, Response Body: ["23456","ABCDE"]
